Chapter_Name,Chapter_Content
Libro Primero - I,"Me exigiste, caro Novato, que te escribiese acerca de la manera de dominar la ira, y creo que, no sin causa, temes muy principalmente a esta pasión, que es la más sombría y desenfrenada de todas. Las otras tienen sin duda algo de quietas y plácidas; pero esta es toda agitación, desenfreno en el resentimiento, sed de guerra, de sangre, de suplicios, arrebato de furores sobrehumanos, olvidándose de sí misma con tal de dañar a los demás, lanzándose en medio de las espadas, y ávida de venganzas que a su vez traen un vengador. Por esta razón algunos varones sabios definieron la ira llamándola locura breve; porque, impotente como aquélla para dominarse, olvida toda conveniencia, desconoce todo afecto, es obstinada y terca en lo que se propone, sorda a los consejos de la razón, agitándose por causas vanas, inhábil para distinguir lo justo y verdadero, pareciéndose a esas ruinas que se rompen sobra aquello mismo que aplastan. Para que te convenzas de que no existe razón en aquellos a quienes domina la ira, observa sus actitudes. Porque así como la locura tiene sus señales ciertas, frente triste, andar precipitado, manos convulsas, tez cambiante, respiración anhelosa y entrecortada, así también presenta estas señales el hombre iracundo. Inflámanse sus ojos y centellean; intenso color rojo cubre su semblante, hierve la sangre en las cavidades de su corazón, tiémblanle los labios, aprieta los dientes, el cabello se levanta y eriza, su respiración es corta y ruidosa, sus coyunturas crujen y se retuercen, gime y ruge; su palabra es torpe y entrecortada, chocan frecuentemente sus manos, sus pies golpean el suelo, agítase todo su cuerpo, y cada gesto es una amenaza: así se nos presente aquel a quien hincha y descompone la ira. Imposible saber si este vicio es más detestable que deforme. Pueden ocultarse los demás, alimentarles en secreto; pero la ira se revela en el semblante, y cuanto mayor es, mejor se manifiesta. ¿No ves en todos los animales señales precursoras cuando se aprestan al combate, abandonando todos los miembros la calma de su actitud ordinaria, y exaltándose su ferocidad? El jabalí lanza espuma y aguza contra los troncos sus colmillos; el toro da cornadas al aire, y levanta arena con los pies; ruge el león; hínchase el cuello de la serpiente irritada, y el perro atacado de rabia tiene siniestro aspecto. No hay animal, por terrible y dañino que sea, que no muestre, cuando le domina la ira, mayor ferocidad. No ignoro que existen otras pasiones difíciles de ocultar: la incontinencia, el miedo, la audacia tienen sus señales propias y pueden conocerse de antemano; porque no existe ningún pensamiento interior algo violento que no altere de algún modo el semblante. ¿En qué se diferencia, pues, la ira de estas otras pasiones? En que éstas se muestran y aquélla centellea."
Libro Primero - II,"Si quieres considerar ahora sus efectos y estragos, verás que ninguna calamidad costó más al género humano. Verás los asesinatos, envenenamientos, las mutuas acusaciones de cómplices, la desolación de ciudades, las ruinas de naciones enteras, las cabezas de sus jefes vendidas al mejor postor, las antorchas incendiarias aplicadas a las casas, las llamas franqueando los recintos amurallados y en vastas extensiones de país brillando las hogueras enemigas. Considera aquellas insignes ciudades cuyo asiento apenas se reconoce hoy: la ira las destruyó; contempla esas inmensas soledades deshabitadas; la ira formó esos desiertos. Considera tantos varones eminentes trasmitidos a nuestra memoria «como ejemplos del hado fatal»: la ira hiere a uno en su lecho, a otro en el sagrado del banquete; inmola a éste delante de las leyes en medio del espectáculo del foro, obliga a aquél a dar su sangre a un hijo parricida; a un rey a presentar la garganta al puñal de un esclavo, a aquel otro a extender los brazos en una cruz. Y hasta ahora solamente he hablado de víctimas aisladas; ¿qué será si omitiendo aquellos contra quienes se ha desencadenado particularmente la ira, fijas la vista en asambleas destruidas por el hierro, en todo un pueblo entregado en conjunto a la espada del soldado, en naciones enteras confundidas en la misma ruina, entregadas a la misma muerte como habiendo abandonado todo cuidado propio o despreciado la autoridad? ¿Por qué se irrita tan injustamente el pueblo contra los gladiadores si no mueren en graciosa actitud? considérase despreciado, y por sus gestos y violencias, de espectador se trueca en enemigo. Este sentimiento, sea el que quiera, no es ciertamente ira, sino cuasi ira; es el de los niños que, cuando caen, quieren que se azote al suelo, y frecuentemente no saben contra quién se irritan: irrítanse sin razón ni ofensa, pero no sin apariencia de ella ni sin deseo de castigar. Engáñanles golpes fingidos, ruegos y lágrimas simuladas les calman, y la falsa ofensa desaparece ante falsa venganza."
Libro Primero - III,"«Nos irritamos con frecuencia, dicen algunos, no contra los que ofenden, sino contra los que han de ofender, lo cual demuestra que la ira no brota solamente de la ofensa». Verdad es que nos irritamos contra los que han de ofendernos; pero nos ofenden con sus mismos pensamientos, y el que medita una ofensa, ya la ha comenzado. «Para que te convenzas, dicen, de que la ira no consiste en el deseo de castigar, considera cuántas veces se irritan los más débiles contra los más poderosos: ahora bien, éstos no desean un castigo que no pueden esperar». En primer lugar, hemos dicho que la ira es el deseo y no la facultad de castigar, y los hombres desean también aquello que no pueden conseguir. Además, nadie es tan humilde que no pueda esperar vengarse hasta del más encumbrado: para hacer daño somos muy poderosos. La definición de Aristóteles no se separa mucho de la nuestra, porque dice que la ira es el deseo de devolver el daño. Largo sería examinar detalladamente en qué se diferencia esta definición de la nuestra. Objétase contra las dos que los animales sienten la ira y esto sin recibir daño, sin idea de castigar o de causarlo, porque aunque lo causen, no lo meditan. Pero debemos contestar que los animales carecen de ira, como todo aquello que no es hombre; porque, si bien enemiga de la razón, solamente se desarrolla en el ser capaz de razón. Los animales sienten violencia, rabia, ferocidad, arrebato, pero no conocen más la ira que la lujuria, aunque para algunas voluptuosidades sean más intemperantes que nosotros. No debes creer aquel que dijo:  Non aper irasci meminit, non fidere cursu  Cerva nec armentis incurrere fortibus ursi [1]  porque cuando dice encolerizarse, entiende excitarse, lanzarse, pues no saben mejor encolerizarse que perdonar. Los animales son extraños a las pasiones humanas, experimentando solamente impulsos que se les parecen No siendo así, si comprendiesen el amor, sentirían odios; si conociesen la amistad, tendrían enemistad; si entre ellos hubiese discusión, habría concordia; de todo esto presentan algunas señales, pero el bien y el mal son propios del corazón humano. A nadie más que al hombre se concedieron la previsión, observación, pensamiento; y no solamente sus virtudes, sino que también sus vicios están prohibidos a los animales. Su interior, como su conformación exterior, se diferencia del hombre. Verdad es que tienen esta facultad soberana, este principio motor, llamado de otra manera, como tienen una voz, pero inarticulada, confusa e impropia para formar palabras; como tienen una lengua, pero encadenada y no libre para moverse en todos sentidos: así también el principio motor tiene poca delicadeza y desarrollo. Percibe, pues, la imagen y forma de las cosas que le llevan al movimiento, pero la percepción es oscura y confusa. De aquí la violencia de sus arrebatos y trasportes; pero no existe en ellos temor ni solicitud, tristeza ni ira, sino algo parecido a tales pasiones. Por esta razón sus impresiones desaparecen muy pronto dejando lugar a las contrarias, y después de los furores más violentos y de los terrores más profundos, pastan tranquilamente, y a los estremecimientos y arrebatos más desordenados suceden en el acto la quietud y el sueño."
Libro Primero - IV,"Suficientemente explicado está qué es la ira; claramente se ve en qué se diferencia de la irritabilidad; en lo mismo que la embriaguez se diferencia de la borrachez y el miedo de la timidez. El encolerizado puede no ser iracundo, y el iracundo puede algunas veces no estar encolerizado. Omitiré los términos con que designan los Griegos varias especies de ira, porque no tienen equivalencia entre nosotros; a pesar de que decirnos carácter agrio, acerbo, como también inflamable, arrebatado, gritón, áspero, difícil; pero todos ellos solamente son diferencias de la ira. Entre todos éstos puedes colocar el moroso, refinado género de ira. Iras hay que se disipan con gritos; otras tan tenaces como frecuentes; algunas prontas a la violencia y avaras de palabras; éstas prorrumpen en injurias y amargas invectivas; aquéllas no pasan de la queja y aversión; otras son graves y reconcentradas, existiendo mil formas distintas de este móvil vicio."
Libro Primero - V,"Hemos investigado qué sea la ira, si es propia de algún animal además del hombre, en qué se diferencia de la irascibilidad y cuáles sean sus formas: averigüemos ahora si está conforme con la naturaleza, si es útil, si bajo algún aspecto deba mantenerse. Claramente se ve si está conforme con la naturaleza, considerando al hombre. ¿Qué hay más dulce que él mientras persevera en el hábito ordinario de su espíritu? ¿Qué cosa más cruel que la ira? ¿Qué ser más amante que el hombre? ¿Qué hay más repugnante que la ira? El hombre ha nacido para ayudar al hombre; la ira para la destrucción común. El hombre busca la sociedad, la ira el aislamiento; el hombre quiere ser útil, la ira quiere dañar; el hombre socorre hasta a los desconocidos, la ira hiere hasta a los amigos más íntimos; el hombre está dispuesto a sacrificarse por los intereses ajenos, la ira se precipita en el peligro con tal de arrastrar consigo a otro. Ahora bien: ¿podrá desconocerse más la naturaleza que atribuyendo a su obra mejor, a la más perfecta, este vicio tan feroz y funesto? La ira, como hemos dicho, es ávida de venganza, y no está conforme con la naturaleza del hombre que tal deseo penetre en su tranquilo pecho. La vida humana descansa en los beneficios y la concordia; y no el terror, sino el amor mutuo estrecha la alianza de los comunes auxilios.-¡Cómo! ¿el castigo no es a veces una necesidad? -Ciertamente, pero debe ser justo y razonado; porque no daña, sino que cura aparentando dañar. De la misma manera que pasamos por el fuego, para enderezar los, ciertos maderos torcidos, y los comprimimos por medio de cuñas, no para romperlos, sino para estirarlos; así también corregimos por medio de las penas del cuerpo y del espíritu los caracteres viciados. En las enfermedades del espíritu leves, el médico ensaya ante todo ligeras variaciones en el régimen ordinario, regula el orden de comidas, de bebidas, de ejercicios, y procura robustecer la salud cambiando solamente la manera de vivir; en seguida observa la eficacia del régimen, y si no responde suprime o cercena algo; si tampoco produce esto resultados, prohíbe toda comida y alivia al cuerpo con la dieta; si todos estos cuidados son inútiles, hiere la vena y pone mano en los miembros que podrían corromper las partes inmediatas y propagar el contagio: ningún tratamiento parece duro si el resultado es saludable. Así también, el depositario de las leyes, el jefe de una ciudad, deberá, por cuanto tiempo pueda, no emplear en el tratamiento de los espíritus otra cosa que palabras, y éstas blandas, que les persuadan de sus deberes, ganen los corazones al amor de lo justo y de lo honesto, y les hagan comprender el horror al vicio y el valor de la virtud; en seguida empleará lenguaje más severo, que sea advertencia y reprensión; después acudirá a los castigos, pero éstos leves y revocables, no aplicando los últimos suplicios más que a los crímenes enormes, con objeto de que nadie muera sino aquel que, muriendo, tiene interés en morir."
Libro Primero - VI,"La única diferencia que media entre el magistrado y el médico consiste en que éste, cuando no puede dar la vida, procura dulcificar la muerte, y aquél añade a la muerte del criminal la infamia y la publicidad; y no es que se complazca en el castigo (el sabio está muy lejos de tan inhumana crueldad), sino que su objeto es ofrecer enseñanza a todos, para que aquellos que en vida rehusaron ser útiles a la república, lo sean al menos con su muerte. El hombre no es, pues, ávido de venganza por naturaleza, y, por consiguiente, si la ira es ávida de venganza, dedúcese que no está conforme con la naturaleza del hombre. Aduciré el argumento de Platón, porque ¿quién puede prohibirnos que tomemos de los ajenos aquello que está conforme con lo nuestro? «El varón bueno, dice, no daña a nadie: es así que la venganza daña; luego la venganza no conviene al varón bueno, como tampoco la ira, porque la venganza conviene con ella». Si el varón bueno no goza en la venganza, tampoco se complacerá en un sentimiento cuyo goce es la venganza; luego la cólera no es natural."
Libro Primero - VII,"Aunque la ira no sea natural, ¿se deberá acoger en razón a que muchas veces ha sido útil? Exalta y levanta el ánimo, y en la guerra nada grande hace sin ella el valor, si no toma algo de su fuego, si no le arrastra ese impulso que lanza al audaz en medio de los peligros. Por esta razón creen algunos que es bueno moderar la ira, pero no extinguirla por completo; cercenar lo que tiene de excesivo, para encerrarla en proporción saludable; retener especialmente la energía, sin la cual toda acción sería lánguida, extinguiéndose todo vigor y toda fuerza de ánimo. En primer lugar, más fácil es excluir lo pernicioso que gobernarlo, no admitirlo que ordenarlo después de admitido. En cuanto toma posesión, es más fuerte que la templanza y no soporta freno ni restricciones. Además, la razón misma, a la que se confían las riendas, no tiene fuerza sino mientras permanece separada de las pasiones; si se mezcla a ellas, si se contamina con su contacto, no puede reprimir ya lo que hubiese podido arrojar. Conmovida una vez el alma y fuera de su asiento, obedece a la mano que la impulsa. Existen ciertas cosas que en su principio dependen de nosotros; cuando avanzan, nos arrastran por sus propias fuerzas y no permiten retroceso. El que se lanza a un precipicio no es dueño de sí mismo, no puede impedir ni detener su caída, irrevocable impulso destruye toda voluntad y arrepentimiento, y no puede dejar de llegar allí donde hubiese podido no ir; de la misma manera el ánimo que se ha abandonado a la ira, al amor y a las demás pasiones, no puede contener ya su impulso, necesario es que se vea arrastrado hasta el fin y precipitado con todo su peso por la rápida pendiente del vicio."
Libro Primero - VIII,"Lo mejor es rechazar desde luego los primeros impulsos de la ira, sofocarla en su raíz y procurar no caer en su dominio. Porque si le presentamos el lado débil, es difícil librarse de ella por la retirada, porque es cierto que no queda ya razón cuando damos entrada a la pasión permitiéndole algún derecho por nuestra propia voluntad. La pasión hará en seguida cuanto quiera, no limitándose a aquello que se le permita. Ante todo, repito, debe arrojarse al enemigo desde la plaza; cuando ha penetrado, cuando ha forzado las puertas, no recibe ya la ley del vencido. Porque el ánimo no permanece ahora apartado ni vigila desde fuera las pasiones para impedirlas llegar más allá de lo conveniente, sino que se identifica con ellas, y por esta razón no puede ya recoger en sí mismo esta fuerza útil y saludable que él mismo ha vendido y paralizado. Porque, como ya he dicho, cada cosa de estas no tiene sitio distinto y separado, sino que la razón y la pasión no son más que modificaciones del alma en bien o en mal.-Pero, dicen, hombres hay que se contienen en la ira.-¿Acaso no haciendo nada de lo que la ira les aconseja o escuchándola en algo? Si nada hacen, claro es que no es necesaria la ira para impulsarnos a obrar, mientras que vosotros la invocáis como si tuviese algo más poderoso que la razón. Además, yo pregunto: ¿es más fuerte que la razón o más débil? Si es más fuerte, ¿cómo puede señalarle límites la razón, cuando solamente la impotencia acostumbra obedecer? Si es más débil, la razón puede bastarse sin ella para alcanzar sus fines y para nada necesita auxilios de lo que es débil.-Pero existen iracundos que se dominan y contienen.-¿De qué manera? Cuando la ira se ha extinguido ya y disipado por sí misma; no cuando está en su efervescencia, porque entonces es soberana.-¿Cómo? ¿no se despide incólumes algunas veces a aquellos a quienes se odia, absteniéndonos de causarles daño?-Sin duda; pero ¿cuándo? Cuando una pasión combate a otra y el miedo o la avidez consiguen alguna ventaja: esta templanza no es beneficio de la razón, sino tregua pérfida e inconstante de las pasiones."
Libro Primero - IX,"La ira, en fin, nada útil tiene en sí, nada que impulse al ánimo a las cosas bélicas; porque nunca se apoyó la virtud en el vicio, bastándose a sí misma. Cuantas veces necesita realizar esfuerzos, no se irrita; írguese, y, según lo considera necesario, se anima o se calma; así, pues, cuando las máquinas lanzan los dardos, su alcance depende del que los dirige. «La ira, dice Aristóteles, es necesaria; de nada se triunfa sin ella, si no llena al alma, si no calienta al corazón; debe, pues, servirnos, no como jefe, sino como soldado». Esto es falso. Porque si escucha a la razón y se deja conducir a donde la llevan, ya no es ira, cuyo carácter propio es la rebelión. Si resiste, si arrastrada por sus caprichos y presunción no se detiene cuando se la manda, es para el alma un instrumento tan inútil como el soldado que no obedece a la señal de retirada. Si pues soporta que se le imponga freno, necesario es darla otro nombre, porque deja de ser ira, que solamente comprendo como violenta e indomable; si no lo soporta, es perniciosa y no puede contarse entre los auxiliares. Luego o no es ira o es inútil. Porque si alguno castiga, no por sed de castigar, sino porque debe hacerlo, no debe contársele entre los iracundos. Soldado útil es el que sabe obedecer la orden; pero las pasiones son instrumentos tan malos como malos guías. Así, pues, la razón nunca tomará por auxiliares impulsos tan imprevisores como desordenados, sobre los cuales no tendría autoridad alguna y que solamente podrá reprimir oponiéndoles impulsos semejantes, como el miedo a la ira, la ira a la inercia, la avidez al temor."
Libro Primero - X,"Líbrese la virtud de la desgracia de ver alguna vez a la razón recurrir a los vicios. Con ellos no puede conseguir el ánimo reposo duradero; necesariamente le agitarán y atormentarán: si no tiene otro impulso que estos males, si solamente a la ira debe su valor, a la avidez su actividad, su reposo al temor, vivirá en la tiranía y será esclavo de cada pasión. ¿No avergüenza poner las virtudes bajo el patronato de los vicios? La fuerza de la razón cesa desde el momento en que nada puede sin las pasiones y se hace igual a ellas. Porque ¿qué diferencia media entre la una y las otras, si la pasión es ciega sin la razón y la razón impotente sin la pasión? Igualdad hay en cuanto la una no puede existir sin la otra. Ahora bien: ¿cómo consentir que la pasión se coloque en el mismo rango que la razón? «La ira, dices, es útil si es moderada». Antes debes decir si por su propia naturaleza es útil, pero si es rebelde a la autoridad y a la razón, lo único que se consigue moderándola es que cuanto menos poderosa sea, perjudique menos. Luego una pasión moderada no es otra cosa que un mal moderado."
